Report		Q3 2023	Q4 2023	Q1 2024	Q2 2024	Q3 2024	Q4 2024	Q1 2025	Q2 2025	Q3 2025	Q4 2025
Nettoomsättning	MSEK	236	302	222	314	240	318	248	362	284	371
Bruttoresultat	MSEK	120	151	109	172	131	170	128	197	161	200
Rörelseresultat	MSEK	12.9	24.0	1.4	30.5	25.1	36.2	19.9	55.4	43.3	47.8
Resultat Före Skatt	MSEK	9.3	19.4	-2.2	26.4	22.0	36.1	16.2	52.4	41.5	44.4
Resultat Hänföring Aktieägare	MSEK	9.1	19.7	-1.9	26.7	22.3	36.3	16.3	52.4	41.5	58.3
Vinst/Aktie	SEK	0.30	0.66	-0.06	0.89	0.74	1.21	0.54	1.75	1.38	1.94
Antal Aktier	Milj	30.00	30.00	30.00	30.00	30.00	30.00	30.00	30.00	30.00	30.00
Utdelning	SEK	0.00	0.83	0.83	0.83	0.83	0.00	0.00	0.00	0.00	0.00
											
Immateriella tillgångar	MSEK	63.8	67.7	74.3	79.3	79.6	78.0	77.6	81.4	82.9	84.0
Materiella tillgångar	MSEK	288	283	274	264	253	251	242	234	275	289
Finansiella tillgångar	MSEK	82.9	83.2	86.7	83.8	84.0	114	113	113	114	127
Summa Anläggningstillgångar	MSEK	435	434	435	427	417	443	433	429	471	500
Kassa/Bank	MSEK	120	151	126	220	190	197	173	260	227	254
Summa Omsättningstillgångar	MSEK	381	366	366	428	419	425	414	485	504	490
Summa Tillgångar	MSEK	816	800	801	855	836	868	847	914	975	990
Summa Eget Kapital	MSEK	159	179	177	203	226	237	253	306	348	406
Långfristiga Skulder	MSEK	204	183	178	172	236	268	261	248	287	265
Kortfristiga Skulder	MSEK	454	438	447	479	374	363	333	359	340	319
Summa Eget Kapital och Skulder	MSEK	816	800	801	855	836	868	847	914	975	990
Nettoskuld	MSEK	170	133	150	48.5	70.2	63.5	80.0	-15.0	59.9	33.3
											
Kassaf LöpandeVerk	MSEK	-13.7	50.4	-4.5	106	-18.4	71.7	-13.0	104	-18.5	50.8
Kassaf Investeringsverk	MSEK	-8.9	-11.0	-9.6	-7.2	-3.1	-2.5	-3.5	-9.2	-5.6	-13.9
Kassaf Finansieringsverk	MSEK	-7.0	-7.7	-11.0	-4.7	-7.9	-32.8	-7.7	-7.9	-8.7	-9.7
Åretskassaflöde	MSEK	-29.6	31.7	-25.1	93.9	-29.5	36.4	-24.2	87.1	-32.8	27.2
FrittKassaflöde	MSEK	-22.6	39.4	-14.1	98.5	-21.5	69.2	-16.5	94.9	-24.1	36.9
											
EBITDA	MSEK	24.7	37.0	14.1	43.3	38.3	50.0	33.1	68.6	57.2	62.8
Totala Skulder	MSEK	657	621	624	651	610	631	593	608	627	583
Totala Skulder och Eget kapital	MSEK	816	800	801	855	836	868	847	914	975	990
											
Nettoomsättning/Aktie	SEK	7.88	10.05	7.41	10.47	7.99	10.61	8.26	12.06	9.46	12.35
EBITDA / Aktie	SEK	0.82	1.23	0.47	1.44	1.28	1.67	1.10	2.29	1.91	2.09
Vinst/Aktie	SEK	0.30	0.66	-0.06	0.89	0.74	1.21	0.54	1.75	1.38	1.94
Utdelning	SEK	0.00	0.83	0.83	0.83	0.83	0.00	0.00	0.00	0.00	0.00
Eget Kapital/Aktie	SEK	5.29	5.95	5.89	6.78	7.52	7.90	8.45	10.21	11.60	13.55
Nettoskuld/Aktie	SEK	5.67	4.42	5.00	1.62	2.34	2.12	2.67	-0.50	2.00	1.11
Operativ kassaflöde/Aktie	SEK	-0.46	1.68	-0.15	3.52	-0.61	2.39	-0.43	3.47	-0.62	1.69
FCF / Aktie	SEK	-0.75	1.31	-0.47	3.28	-0.72	2.31	-0.55	3.16	-0.80	1.23
Årets kassaflöde/Aktie	SEK	-0.99	1.06	-0.84	3.13	-0.98	1.21	-0.81	2.90	-1.09	0.91
											
EBITDA-marginal	%	10.4	12.3	6.3	13.8	16.0	15.7	13.4	19.0	20.2	17.0
Bruttomarginal	%	50.7	50.0	49.1	54.8	54.5	53.3	51.6	54.4	56.8	54.0
Rörelsemarginal	%	5.5	8.0	0.6	9.7	10.5	11.4	8.0	15.3	15.3	12.9
Vinstmarginal	%	3.8	6.5	-0.9	8.5	9.3	11.4	6.6	14.5	14.6	15.7
Immat.tillgång.-%	%	7.8	8.5	9.3	9.3	9.5	9.0	9.2	8.9	8.5	8.5
Kassa-%	%	14.8	18.9	15.7	25.7	22.8	22.7	20.4	28.4	23.3	25.6
Rörelsekapital-%	%	-8.9	-9.0	-10.1	-6.0	5.4	7.1	9.6	13.8	16.8	17.3
Soliditet	%	19.5	22.3	22.1	23.8	27.0	27.3	29.9	33.5	35.7	41.1
Avkastning På EK	%	-18.3	-0.8	17.8	26.4	29.6	35.2	40.1	41.6	42.1	41.5
Avkastning på T	%	-3.6	-0.2	3.9	6.3	8.0	9.6	12.0	13.9	15.0	17.0
Nettoskuld	%	20.8	16.6	18.7	5.7	8.4	7.3	9.5	-1.6	6.1	3.4
OP-marginal	%	-5.8	16.7	-2.0	33.7	-7.7	22.5	-5.2	28.8	-6.5	13.7
Capex %	%	-65.0	21.8	-213.3	6.8	-16.8	3.5	-26.9	8.8	-30.3	27.4
FCF-marginal	%	-9.6	13.1	-6.3	31.4	-9.0	21.7	-6.7	26.2	-8.5	10.0
Utdelning/FCF	%	0.0	68.4	32.4	24.6	24.3	0.0	0.0	0.0	0.0	0.0
Årets kassaflöde marginal	%	-12.5	10.5	-11.3	29.9	-12.3	11.4	-9.8	24.1	-11.6	7.3
											
Aktiekurs Snitt	SEK	12.55	16.80	16.64	25.00	29.35	36.15	39.44	57.30	101.00	76.90
Aktiekurs Högsta	SEK	15.05	18.00	18.35	25.80	29.90	41.00	41.00	59.40	110.00	135.60
Aktiekurs Lägsta	SEK	9.14	12.05	14.28	14.28	23.20	26.15	28.56	36.59	60.50	63.50
